AverageFlow Volume Duration Outlet
33.5 268 8 showerHead
103.86206896551724 18072 184 showerHead
111.11340206185568 10778 103 showerHead
47.0 1457 33 showerHead
86.96551724137932 2522 31 showerHead
65.72093023255815 2826 46 showerHead
53.375 854 17 showerHead
57.09090909090909 1884 35 showerHead
126.72151898734177 20022 168 showerHead
65.22641509433963 6914 112 showerHead
40.95145631067961 4218 109 showerHead
44.33823529411765 3015 72 showerHead
94.46428571428572 2645 30 showerHead
90.80672268907564 10806 126 showerHead
61.182539682539684 7709 134 showerHead
69.16071428571429 3873 59 showerHead
76.3841059602649 11534 160 showerHead
92.6 15279 175 showerHead
61.1875 7832 136 showerHead
109.34848484848484 14434 141 showerHead
40.67015706806283 7768 202 showerHead
71.61538461538461 10241 152 showerHead
59.27152317880793 8950 159 showerHead
115.40140845070421 16387 151 showerHead
92.85427135678393 18478 212 showerHead
92.6058394160584 12687 145 showerHead
98.4915254237288 11622 125 showerHead
99.00275482093664 35938 386 showerHead
69.29629629629629 5613 85 showerHead
63.07352941176471 8578 144 showerHead
82.89940828402365 14010 180 showerHead
88.93209876543209 14407 172 showerHead
87.54 8754 106 showerHead
45.9290780141844 6476 149 showerHead
107.6268656716418 14422 142 showerHead
72.8923076923077 4738 69 showerHead
102.42455242966751 40048 414 showerHead
63.914893617021285 6008 100 showerHead
65.93023255813954 5670 91 showerHead
87.1 871 11 showerHead
101.56398104265404 21430 224 showerHead
95.15384615384615 11133 124 showerHead
72.29276315789474 21977 322 showerHead
94.56390977443607 12577 141 showerHead
50.274193548387096 3117 66 showerHead
64.17159763313609 10845 179 showerHead
87.7554347826087 32294 390 showerHead
88.45209580838323 29543 357 showerHead
88.90140845070421 12624 153 showerHead
91.72826086956522 8439 98 showerHead
80.67058823529412 6857 90 showerHead
85.04838709677419 5273 68 showerHead
67.83495145631068 6987 109 showerHead
79.28571428571429 1665 22 showerHead
45.860927152317885 6925 160 showerHead
43.683823529411775 5941 144 showerHead
95.47200000000001 11934 132 showerHead
58.0 5742 106 showerHead
74.56872037914692 15734 224 showerHead
60.58125 9693 170 showerHead
44.444444444444436 400 18 showerHead
82.375 659 25 showerHead
91.71428571428572 642 15 showerHead
88.375 707 21 showerHead
91.66666666666669 550 10 showerHead
75.28571428571429 2635 79 showerHead
56.135922330097095 5782 110 showerHead
77.52873563218391 13490 184 showerHead
146.2352941176471 2486 18 showerHead
80.17079889807162 29102 385 showerHead
87.58677685950413 21196 258 showerHead
67.38857142857142 11793 186 showerHead
