AverageFlow Volume Duration Outlet
25.29787234042553 1189 50 kitchenBasin
47.22222222222222 850 19 kitchenBasin
28.83333333333333 173 6 kitchenBasin
64.71428571428571 453 7 kitchenBasin
29.3 293 11 kitchenBasin
72.0909090909091 793 11 kitchenBasin
46.30769230769231 602 14 kitchenBasin
22.83333333333333 137 8 kitchenBasin
44.66666666666666 804 19 kitchenBasin
60.0 360 6 kitchenBasin
39.375 315 12 kitchenBasin
57.67777777777778 5191 96 kitchenBasin
20.166666666666668 121 7 kitchenBasin
43.16666666666666 259 6 kitchenBasin
70.33333333333333 844 13 kitchenBasin
42.125 674 18 kitchenBasin
53.096774193548384 1646 32 kitchenBasin
23.45454545454545 258 12 kitchenBasin
70.9090909090909 780 12 kitchenBasin
21.33333333333333 128 6 kitchenBasin
57.631578947368425 1095 20 kitchenBasin
52.0 572 12 kitchenBasin
24.857142857142854 348 15 kitchenBasin
40.78787878787879 1346 36 kitchenBasin
33.59090909090909 739 23 kitchenBasin
35.81818181818182 788 40 kitchenBasin
33.70588235294117 573 18 kitchenBasin
67.0 1675 26 kitchenBasin
79.5 1113 19 kitchenBasin
48.0 288 7 kitchenBasin
48.1875 771 17 kitchenBasin
25.0 2350 100 kitchenBasin
99.16666666666669 1190 13 kitchenBasin
56.518518518518526 3052 60 kitchenBasin
32.76470588235294 557 18 kitchenBasin
35.0 315 10 kitchenBasin
18.5 111 6 kitchenBasin
73.38461538461539 1908 29 kitchenBasin
14.555555555555555 131 10 kitchenBasin
42.5 425 11 kitchenBasin
79.55555555555556 716 10 kitchenBasin
58.16666666666666 349 6 kitchenBasin
27.66666666666667 166 7 kitchenBasin
24.0 192 9 kitchenBasin
32.47572815533981 3345 109 kitchenBasin
43.862068965517246 1272 32 kitchenBasin
44.15 883 21 kitchenBasin
79.63636363636364 876 12 kitchenBasin
58.75 470 8 kitchenBasin
45.66666666666666 274 7 kitchenBasin
43.384615384615394 564 16 kitchenBasin
64.28571428571429 450 8 kitchenBasin
19.25 154 8 kitchenBasin
50.75 406 9 kitchenBasin
56.90909090909091 626 12 kitchenBasin
89.57142857142857 627 8 kitchenBasin
43.4 1302 31 kitchenBasin
49.33333333333334 444 10 kitchenBasin
46.0 322 8 kitchenBasin
40.16666666666666 241 6 kitchenBasin
40.125 321 8 kitchenBasin
38.16666666666666 229 7 kitchenBasin
66.28571428571429 464 7 kitchenBasin
45.0 270 6 kitchenBasin
48.384615384615394 629 14 kitchenBasin
47.28571428571429 662 15 kitchenBasin
14.428571428571427 101 10 kitchenBasin
36.648648648648646 1356 39 kitchenBasin
37.0 259 8 kitchenBasin
51.83333333333334 933 19 kitchenBasin
15.652173913043477 360 25 kitchenBasin
56.27272727272727 1238 23 kitchenBasin
48.5 970 21 kitchenBasin
34.875 558 21 kitchenBasin
46.90909090909091 516 12 kitchenBasin
56.088888888888896 2524 48 kitchenBasin
51.27272727272727 564 12 kitchenBasin
67.5 945 15 kitchenBasin
