AverageFlow Volume Duration Outlet
46.28571428571429 648 15 washroomBasin
16.75 201 15 washroomBasin
31.76388888888889 2287 83 washroomBasin
17.266666666666666 518 35 washroomBasin
27.33333333333333 246 10 washroomBasin
14.5 87 6 washroomBasin
27.84615384615385 362 14 washroomBasin
32.666666666666664 196 7 washroomBasin
38.265306122448976 3750 104 washroomBasin
85.70175438596492 4885 60 washroomBasin
31.0 527 21 washroomBasin
39.95652173913044 919 24 washroomBasin
16.171875 1035 68 washroomBasin
19.5 546 31 washroomBasin
16.583333333333332 199 12 washroomBasin
19.83333333333333 119 6 washroomBasin
28.777777777777782 259 10 washroomBasin
17.076923076923073 222 14 washroomBasin
31.444444444444446 566 20 washroomBasin
22.141732283464567 2812 136 washroomBasin
41.42105263157895 1574 42 washroomBasin
37.78378378378378 1398 39 washroomBasin
13.5 81 6 washroomBasin
16.666666666666668 100 7 washroomBasin
15.111111111111109 272 20 washroomBasin
30.344827586206893 880 32 washroomBasin
30.555555555555557 550 19 washroomBasin
43.975 3518 84 washroomBasin
47.28 1182 26 washroomBasin
18.11111111111111 163 10 washroomBasin
37.25 1043 29 washroomBasin
45.612903225806456 2828 66 washroomBasin
34.68 2601 80 washroomBasin
51.38235294117647 1747 37 washroomBasin
18.0 144 8 washroomBasin
46.42857142857143 325 8 washroomBasin
16.9375 271 17 washroomBasin
10.5 84 8 washroomBasin
44.45833333333334 2134 51 washroomBasin
44.0 1804 43 washroomBasin
28.0 224 9 washroomBasin
27.54545454545455 303 11 washroomBasin
18.0 198 12 washroomBasin
36.769230769230774 1434 41 washroomBasin
43.5 261 6 washroomBasin
73.4 2202 32 washroomBasin
6.5 39 7 washroomBasin
15.318181818181818 1011 71 washroomBasin
16.333333333333332 98 7 washroomBasin
20.625 495 25 washroomBasin
31.84057971014493 2197 74 washroomBasin
23.5 188 9 washroomBasin
29.0 261 10 washroomBasin
21.2 106 6 washroomBasin
61.54545454545455 677 15 washroomBasin
33.31578947368421 633 20 washroomBasin
31.142857142857146 218 11 washroomBasin
20.375 163 11 washroomBasin
24.2 242 10 washroomBasin
30.105882352941176 2559 90 washroomBasin
9.5 171 19 washroomBasin
27.16666666666667 163 7 washroomBasin
23.714285714285715 166 7 washroomBasin
46.47945205479452 3393 77 washroomBasin
35.8 716 22 washroomBasin
14.714285714285715 206 15 washroomBasin
37.25 1341 38 washroomBasin
73.96969696969697 2441 35 washroomBasin
13.444444444444445 121 10 washroomBasin
17.38888888888889 313 20 washroomBasin
15.3125 245 17 washroomBasin
11.2 728 69 washroomBasin
34.333333333333336 412 13 washroomBasin
14.941176470588234 508 36 washroomBasin
31.0 186 7 washroomBasin
33.5625 1074 34 washroomBasin
14.25 114 9 washroomBasin
26.33333333333333 316 13 washroomBasin
14.0 112 8 washroomBasin
14.666666666666664 220 15 washroomBasin
25.86666666666667 388 18 washroomBasin
11.75 94 9 washroomBasin
21.55 431 21 washroomBasin
12.8125 205 17 washroomBasin
25.347826086956523 583 24 washroomBasin
14.830188679245285 786 57 washroomBasin
17.166666666666668 103 8 washroomBasin
19.6 588 36 washroomBasin
34.875 837 25 washroomBasin
16.846153846153847 219 14 washroomBasin
12.857142857142858 450 37 washroomBasin
11.428571428571427 80 7 washroomBasin
18.5 222 13 washroomBasin
29.75 595 23 washroomBasin
46.75 561 13 washroomBasin
40.405405405405396 1495 40 washroomBasin
68.85714285714286 482 8 washroomBasin
19.690140845070427 1398 78 washroomBasin
20.214285714285715 283 14 washroomBasin
57.05263157894736 1084 20 washroomBasin
11.416666666666664 137 13 washroomBasin
14.428571428571427 404 30 washroomBasin
18.930232558139533 814 46 washroomBasin
42.888888888888886 386 10 washroomBasin
18.727272727272727 206 12 washroomBasin
64.0 576 10 washroomBasin
11.809523809523812 248 23 washroomBasin
18.785714285714285 263 15 washroomBasin
18.393939393939394 607 35 washroomBasin
18.864864864864863 698 42 washroomBasin
33.55 671 24 washroomBasin
30.0 780 27 washroomBasin
31.8 1272 43 washroomBasin
25.33333333333333 304 13 washroomBasin
20.666666666666668 124 6 washroomBasin
32.275 2582 85 washroomBasin
13.857142857142858 97 7 washroomBasin
28.23809523809524 593 22 washroomBasin
37.09090909090909 816 24 washroomBasin
27.205882352941174 925 39 washroomBasin
62.44827586206897 1811 31 washroomBasin
33.666666666666664 606 19 washroomBasin
12.578947368421053 239 20 washroomBasin
12.714285714285715 89 14 washroomBasin
38.90909090909091 1284 71 washroomBasin
21.66666666666667 130 14 washroomBasin
31.11111111111111 280 9 washroomBasin
78.3125 2506 34 washroomBasin
54.02083333333334 2593 51 washroomBasin
40.6875 1302 33 washroomBasin
14.625 117 8 washroomBasin
33.07142857142857 463 16 washroomBasin
18.9 378 21 washroomBasin
