AverageFlow Volume Duration Outlet
153.92857142857142 2155 15 washingMachine
165.9259259259259 4480 29 washingMachine
172.09523809523807 3614 22 washingMachine
161.0 4669 31 washingMachine
162.0 1782 11 washingMachine
149.44444444444446 1345 10 washingMachine
176.01851851851848 9505 58 washingMachine
122.875 983 8 washingMachine
128.88888888888889 1160 10 washingMachine
119.71428571428572 838 7 washingMachine
145.7 1457 11 washingMachine
183.8809523809524 7723 45 washingMachine
182.0 2730 16 washingMachine
158.25 1266 8 washingMachine
173.0408163265306 8479 52 washingMachine
160.1818181818182 1762 12 washingMachine
140.0 1400 11 washingMachine
167.61538461538458 2179 13 washingMachine
169.04761904761904 3550 23 washingMachine
171.4814814814815 4630 29 washingMachine
157.42857142857142 2204 15 washingMachine
154.55555555555554 1391 9 washingMachine
177.88461538461542 9250 55 washingMachine
155.83333333333334 1870 12 washingMachine
131.0 1048 8 washingMachine
169.41666666666666 2033 13 washingMachine
165.71428571428572 3480 23 washingMachine
167.21428571428572 4682 29 washingMachine
153.38461538461542 1994 14 washingMachine
168.70491803278688 10291 65 washingMachine
150.71428571428572 1055 7 washingMachine
147.25 1767 13 washingMachine
136.88888888888889 1232 10 washingMachine
157.15384615384616 2043 14 washingMachine
166.89795918367346 8178 53 washingMachine
165.9047619047619 3484 22 washingMachine
158.8709677419355 4925 33 washingMachine
154.42105263157896 2934 20 washingMachine
147.71428571428572 1034 8 washingMachine
171.5689655172414 9951 62 washingMachine
156.0 1248 8 washingMachine
173.16666666666663 2078 12 washingMachine
171.47619047619048 3601 23 washingMachine
173.0 5190 31 washingMachine
159.125 2546 16 washingMachine
168.19047619047618 3532 23 washingMachine
155.25 1863 12 washingMachine
178.84905660377356 9479 56 washingMachine
130.55555555555554 1175 9 washingMachine
144.5 1445 11 washingMachine
174.04166666666663 8354 51 washingMachine
180.27083333333331 8653 51 washingMachine
127.88888888888887 1151 9 washingMachine
145.0 1160 14 washingMachine
157.41666666666666 1889 22 washingMachine
164.11538461538458 4267 27 washingMachine
167.33333333333334 2008 13 washingMachine
123.28571428571428 863 8 washingMachine
154.875 1239 9 washingMachine
170.45454545454547 3750 23 washingMachine
134.42857142857142 941 7 washingMachine
147.75 1182 8 washingMachine
166.7 1667 11 washingMachine
182.906976744186 7865 45 washingMachine
148.625 1189 8 washingMachine
161.71428571428572 1132 7 washingMachine
177.32608695652175 8157 48 washingMachine
146.2 1462 11 washingMachine
151.75 1821 12 washingMachine
150.75 1206 8 washingMachine
166.23076923076925 2161 13 washingMachine
178.45 3569 22 washingMachine
166.7037037037037 4501 29 washingMachine
163.15384615384616 2121 14 washingMachine
135.33333333333334 1218 9 washingMachine
169.89473684210526 9684 61 washingMachine
155.55555555555554 1400 9 washingMachine
170.5625 8187 51 washingMachine
156.5636363636364 8611 58 washingMachine
180.85416666666663 8681 51 washingMachine
141.0 1410 11 washingMachine
153.78571428571428 2153 15 washingMachine
161.61904761904762 3394 22 washingMachine
162.83333333333334 3908 25 washingMachine
159.0 2226 14 washingMachine
143.33333333333334 1290 10 washingMachine
157.30769230769232 2045 14 washingMachine
131.85714285714286 923 8 washingMachine
161.98 8099 55 washingMachine
175.87755102040816 8618 53 washingMachine
142.71428571428572 999 7 washingMachine
165.38461538461542 2150 14 washingMachine
183.0 3660 22 washingMachine
162.96296296296296 4400 29 washingMachine
152.77777777777774 1375 10 washingMachine
167.74545454545455 9226 58 washingMachine
140.28571428571428 982 7 washingMachine
152.75 1222 9 washingMachine
157.26666666666668 2359 19 washingMachine
160.0909090909091 8805 61 washingMachine
135.5 1084 9 washingMachine
178.9782608695652 8233 49 washingMachine
132.625 1061 8 washingMachine
120.42857142857143 843 8 washingMachine
172.29166666666663 8270 51 washingMachine
169.22448979591837 8292 52 washingMachine
133.3 1333 11 washingMachine
166.46153846153842 2164 14 washingMachine
178.65 3573 21 washingMachine
166.6875 5334 34 washingMachine
172.7 1727 11 washingMachine
172.09615384615384 8949 57 washingMachine
145.83333333333334 1750 13 washingMachine
143.5 861 8 washingMachine
175.37037037037038 4735 28 washingMachine
171.89583333333337 8251 53 washingMachine
177.6923076923077 2310 14 washingMachine
175.6 3512 21 washingMachine
161.33333333333334 3872 26 washingMachine
158.25 1899 13 washingMachine
166.6 9163 59 washingMachine
127.75 1022 8 washingMachine
152.0 1064 8 washingMachine
139.875 1119 9 washingMachine
159.19607843137254 8119 54 washingMachine
128.77777777777777 1159 10 washingMachine
165.38461538461542 8600 55 washingMachine
146.1 1461 11 washingMachine
173.9230769230769 2261 13 washingMachine
173.14285714285714 3636 22 washingMachine
172.23076923076923 4478 28 washingMachine
174.0 2088 12 washingMachine
171.9787234042553 8083 50 washingMachine
176.41666666666663 2117 13 washingMachine
138.625 1109 8 washingMachine
129.9 1299 10 washingMachine
175.72916666666663 8435 52 washingMachine
179.0 6086 36 washingMachine
150.44444444444446 1354 9 washingMachine
154.35714285714286 2161 15 washingMachine
165.14285714285714 3468 22 washingMachine
168.76923076923075 4388 28 washingMachine
164.64285714285714 2305 15 washingMachine
148.88888888888889 1340 10 washingMachine
172.5714285714286 3624 22 washingMachine
153.40677966101694 9051 63 washingMachine
